#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
fuel_len_236_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõïÕ-236È¼ÁÏ
fuel_len_236_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ïÕ-236È¼ÁÏ
fuel_hen_236                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÕ-236È¼ÁÏ
fuel_hen_236_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõïÕ-236È¼ÁÏ
fuel_hen_236_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ïÕ-236È¼ÁÏ
fuel_lep_239                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-239È¼ÁÏ
fuel_lep_239_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõîĞ-239È¼ÁÏ
fuel_lep_239_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯îĞ-239È¼ÁÏ
fuel_hep_239                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-239È¼ÁÏ
fuel_hep_239_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõîĞ-239È¼ÁÏ
fuel_hep_239_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯îĞ-239È¼ÁÏ
fuel_lep_241                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõîĞ-241È¼ÁÏ
fuel_lep_241_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõîĞ-241È¼ÁÏ
fuel_lep_241_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯îĞ-241È¼ÁÏ
fuel_hep_241                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõîĞ-241È¼ÁÏ
fuel_hep_241_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõîĞ-241È¼ÁÏ
fuel_hep_241_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯îĞ-241È¼ÁÏ
fuel_lea_242                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÑ-242È¼ÁÏ
fuel_lea_242_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõïÑ-242È¼ÁÏ
fuel_lea_242_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ïÑ-242È¼ÁÏ
fuel_hea_242                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÑ-242È¼ÁÏ
fuel_hea_242_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõïÑ-242È¼ÁÏ
fuel_hea_242_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ïÑ-242È¼ÁÏ
fuel_lecm_243                                     ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-243È¼ÁÏ
fuel_lecm_243_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨Ëõï¸-243È¼ÁÏ
fuel_lecm_243_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ï¸-243È¼ÁÏ
fuel_hecm_243                                     ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-243È¼ÁÏ
fuel_hecm_243_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨Ëõï¸-243È¼ÁÏ
fuel_hecm_243_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ï¸-243È¼ÁÏ
fuel_lecm_245                                     ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-245È¼ÁÏ
fuel_lecm_245_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨Ëõï¸-245È¼ÁÏ
fuel_lecm_245_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ï¸-245È¼ÁÏ
fuel_hecm_245                                     ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-245È¼ÁÏ
fuel_hecm_245_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨Ëõï¸-245È¼ÁÏ
fuel_hecm_245_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ï¸-245È¼ÁÏ
fuel_lecm_247                                     ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï¸-247È¼ÁÏ
fuel_lecm_247_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨Ëõï¸-247È¼ÁÏ
fuel_lecm_247_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ï¸-247È¼ÁÏ
fuel_hecm_247                                     ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï¸-247È¼ÁÏ
fuel_hecm_247_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨Ëõï¸-247È¼ÁÏ
fuel_hecm_247_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ï¸-247È¼ÁÏ
fuel_leb_248                                      ([no block])                                                                     = ÈÛÈÚµÍÅ¨ËõïÂ-248È¼ÁÏ
fuel_leb_248_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨ËõïÂ-248È¼ÁÏ
fuel_leb_248_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ïÂ-248È¼ÁÏ
fuel_heb_248                                      ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨ËõïÂ-248È¼ÁÏ
fuel_heb_248_fluoride                             ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨ËõïÂ-248È¼ÁÏ
fuel_heb_248_fluoride_flibe                       ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ïÂ-248È¼ÁÏ
fuel_lecf_249                                     ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-249È¼ÁÏ
fuel_lecf_249_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨Ëõï´-249È¼ÁÏ
fuel_lecf_249_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ï´-249È¼ÁÏ
fuel_hecf_249                                     ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-249È¼ÁÏ
fuel_hecf_249_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨Ëõï´-249È¼ÁÏ
fuel_hecf_249_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ï´-249È¼ÁÏ
fuel_lecf_251                                     ([no block])                                                                     = ÈÛÈÚµÍÅ¨Ëõï´-251È¼ÁÏ
fuel_lecf_251_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯µÍÅ¨Ëõï´-251È¼ÁÏ
fuel_lecf_251_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-µÍÅ¨Ëõ·ú»¯ï´-251È¼ÁÏ
fuel_hecf_251                                     ([no block])                                                                     = ÈÛÈÚ¸ßÅ¨Ëõï´-251È¼ÁÏ
fuel_hecf_251_fluoride                            ([no block])                                                                     = ÈÛÈÚ·ú»¯¸ßÅ¨Ëõï´-251È¼ÁÏ
fuel_hecf_251_fluoride_flibe                      ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¸ßÅ¨Ëõ·ú»¯ï´-251È¼ÁÏ
depleted_fuel_tbu                                 ([no block])                                                                     = ÈÛÈÚ¿İ½ßTBUÈ¼ÁÏ
depleted_fuel_tbu_fluoride                        ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯TBUÈ¼ÁÏ
depleted_fuel_tbu_fluoride_flibe                  ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßTBUÈ¼ÁÏ
depleted_fuel_leu_233                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-233È¼ÁÏ
depleted_fuel_leu_233_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõÓË-233È¼ÁÏ
depleted_fuel_leu_233_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ÓË-233È¼ÁÏ
depleted_fuel_heu_233                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-233È¼ÁÏ
depleted_fuel_heu_233_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõÓË-233È¼ÁÏ
depleted_fuel_heu_233_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ÓË-233È¼ÁÏ
depleted_fuel_leu_235                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõÓË-235È¼ÁÏ
depleted_fuel_leu_235_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõÓË-235È¼ÁÏ
depleted_fuel_leu_235_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ÓË-235È¼ÁÏ
depleted_fuel_heu_235                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõÓË-235È¼ÁÏ
depleted_fuel_heu_235_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõÓË-235È¼ÁÏ
depleted_fuel_heu_235_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ÓË-235È¼ÁÏ
depleted_fuel_len_236                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÕ-236È¼ÁÏ
depleted_fuel_len_236_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõïÕ-236È¼ÁÏ
depleted_fuel_len_236_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ïÕ-236È¼ÁÏ
depleted_fuel_hen_236                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÕ-236È¼ÁÏ
depleted_fuel_hen_236_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõïÕ-236È¼ÁÏ
depleted_fuel_hen_236_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ïÕ-236È¼ÁÏ
depleted_fuel_lep_239                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-239È¼ÁÏ
depleted_fuel_lep_239_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõîĞ-239È¼ÁÏ
depleted_fuel_lep_239_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯îĞ-239È¼ÁÏ
depleted_fuel_hep_239                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-239È¼ÁÏ
depleted_fuel_hep_239_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõîĞ-239È¼ÁÏ
depleted_fuel_hep_239_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯îĞ-239È¼ÁÏ
depleted_fuel_lep_241                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõîĞ-241È¼ÁÏ
depleted_fuel_lep_241_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõîĞ-241È¼ÁÏ
depleted_fuel_lep_241_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯îĞ-241È¼ÁÏ
depleted_fuel_hep_241                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõîĞ-241È¼ÁÏ
depleted_fuel_hep_241_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõîĞ-241È¼ÁÏ
depleted_fuel_hep_241_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯îĞ-241È¼ÁÏ
depleted_fuel_lea_242                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÑ-242È¼ÁÏ
depleted_fuel_lea_242_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõïÑ-242È¼ÁÏ
depleted_fuel_lea_242_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ïÑ-242È¼ÁÏ
depleted_fuel_hea_242                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÑ-242È¼ÁÏ
depleted_fuel_hea_242_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõïÑ-242È¼ÁÏ
depleted_fuel_hea_242_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ïÑ-242È¼ÁÏ
depleted_fuel_lecm_243                            ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-243È¼ÁÏ
depleted_fuel_lecm_243_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨Ëõï¸-243È¼ÁÏ
depleted_fuel_lecm_243_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ï¸-243È¼ÁÏ
depleted_fuel_hecm_243                            ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-243È¼ÁÏ
depleted_fuel_hecm_243_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨Ëõï¸-243È¼ÁÏ
depleted_fuel_hecm_243_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ï¸-243È¼ÁÏ
depleted_fuel_lecm_245                            ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-245È¼ÁÏ
depleted_fuel_lecm_245_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨Ëõï¸-245È¼ÁÏ
depleted_fuel_lecm_245_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ï¸-245È¼ÁÏ
depleted_fuel_hecm_245                            ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-245È¼ÁÏ
depleted_fuel_hecm_245_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨Ëõï¸-245È¼ÁÏ
depleted_fuel_hecm_245_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ï¸-245È¼ÁÏ
depleted_fuel_lecm_247                            ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï¸-247È¼ÁÏ
depleted_fuel_lecm_247_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨Ëõï¸-247È¼ÁÏ
depleted_fuel_lecm_247_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ï¸-247È¼ÁÏ
depleted_fuel_hecm_247                            ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï¸-247È¼ÁÏ
depleted_fuel_hecm_247_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨Ëõï¸-247È¼ÁÏ
depleted_fuel_hecm_247_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ï¸-247È¼ÁÏ
depleted_fuel_leb_248                             ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨ËõïÂ-248È¼ÁÏ
depleted_fuel_leb_248_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨ËõïÂ-248È¼ÁÏ
depleted_fuel_leb_248_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ïÂ-248È¼ÁÏ
depleted_fuel_heb_248                             ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨ËõïÂ-248È¼ÁÏ
depleted_fuel_heb_248_fluoride                    ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨ËõïÂ-248È¼ÁÏ
depleted_fuel_heb_248_fluoride_flibe              ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ïÂ-248È¼ÁÏ
depleted_fuel_lecf_249                            ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-249È¼ÁÏ
depleted_fuel_lecf_249_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨Ëõï´-249È¼ÁÏ
depleted_fuel_lecf_249_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ï´-249È¼ÁÏ
depleted_fuel_hecf_249                            ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-249È¼ÁÏ
depleted_fuel_hecf_249_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨Ëõï´-249È¼ÁÏ
depleted_fuel_hecf_249_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ï´-249È¼ÁÏ
depleted_fuel_lecf_251                            ([no block])                                                                     = ÈÛÈÚ¿İ½ßµÍÅ¨Ëõï´-251È¼ÁÏ
depleted_fuel_lecf_251_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯µÍÅ¨Ëõï´-251È¼ÁÏ
depleted_fuel_lecf_251_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ßµÍÅ¨Ëõ·ú»¯ï´-251È¼ÁÏ
depleted_fuel_hecf_251                            ([no block])                                                                     = ÈÛÈÚ¿İ½ß¸ßÅ¨Ëõï´-251È¼ÁÏ
depleted_fuel_hecf_251_fluoride                   ([no block])                                                                     = ÈÛÈÚ¿İ½ß·ú»¯¸ßÅ¨Ëõï´-251È¼ÁÏ
depleted_fuel_hecf_251_fluoride_flibe             ([no block])                                                                     = ÈÛÈÚ·úï®îëÑÎ-¿İ½ß¸ßÅ¨Ëõ·ú»¯ï´-251È¼ÁÏ
redstone_nak                                      ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ºìÊ¯»ìºÏÎï
redstone_nak_hot                                  ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ºìÊ¯»ìºÏÎï
quartz                                            ([no block])                                                                     = ÈÛÈÚÊ¯Ó¢
quartz_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ê¯Ó¢»ìºÏÎï
quartz_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ê¯Ó¢»ìºÏÎï
gold_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-½ğ»ìºÏÎï
gold_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-½ğ»ìºÏÎï
glowstone_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ó«Ê¯»ìºÏÎï
glowstone_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ó«Ê¯»ìºÏÎï
lapis                                             ([no block])                                                                     = ÈÛÈÚÇà½ğÊ¯
lapis_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Çà½ğÊ¯»ìºÏÎï
lapis_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Çà½ğÊ¯»ìºÏÎï
diamond                                           ([no block])                                                                     = ÈÛÈÚ×êÊ¯
diamond_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
diamond_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-×êÊ¯»ìºÏÎï
liquidhelium_nak                                  ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
liquidhelium_nak_hot                              ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-º¤»ìºÏÎï
ender_nak                                         ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
ender_nak_hot                                     ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ä©Ó°»ìºÏÎï
cryotheum_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
cryotheum_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Áİ±ù»ìºÏÎï
iron_nak                                          ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ìú»ìºÏÎï
iron_nak_hot                                      ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ìú»ìºÏÎï
emerald                                           ([no block])                                                                     = ÈÛÈÚÂÌ±¦Ê¯
emerald_nak                                       ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
emerald_nak_hot                                   ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-ÂÌ±¦Ê¯»ìºÏÎï
copper_nak                                        ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
copper_nak_hot                                    ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Í­»ìºÏÎï
tin_nak                                           ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
tin_nak_hot                                       ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Îı»ìºÏÎï
magnesium                                         (tconstruct:molten_magnesium)                                                    = ÈÛÈÚÃ¾
magnesium_nak                                     ([no block])                                                                     = ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
magnesium_nak_hot                                 ([no block])                                                                     = ÈÈ¹²¾§ÄÆ¼Ø-Ã¾»ìºÏÎï
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Ö²ÎïÓÍ
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = ÉúÎï²ñÓÍ
concrete                                          (immersiveengineering:fluidconcrete)                                             = ÒºÌ¬»ìÄıÍÁ
dist_water                                        (immersivetech:fluiddistwater)                                                   = ÕôÁóË®
menrilresin                                       (integrateddynamics:block_menril_resin)                                          = ÃÅÈğÅ·Ê÷Ö¬
liquidchorus                                      (integrateddynamics:block_liquid_chorus)                                         = ×ÏËÌ¹ûÖ­
nutrient_distillation                             (enderio:block_fluid_nutrient_distillation)                                      = ÓªÑø¾«»ªÒº
ender_distillation                                (enderio:block_fluid_ender_distillation)                                         = ÉîÔ¨Â¶Ë®
vapor_of_levity                                   (enderio:block_fluid_vapor_of_levity)                                            = ÇáÓ¯Ö®Æø
hootch                                            (enderio:block_fluid_hootch)                                                     = ÁÒ¾Æ
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = »ğ¼ıÈ¼ÁÏ
fire_water                                        (enderio:block_fluid_fire_water)                                                 = »ğÑæË®
xpjuice                                           ([no block])                                                                     = ¾­Ñé
liquid_sunshine                                   (enderio:block_fluid_liquid_sunshine)                                            = ÒºÌ¬Ñô¹â
cloud_seed                                        (enderio:block_fluid_cloud_seed)                                                 = ÔÆÖ®¾«»ª
cloud_seed_concentrated                           (enderio:block_fluid_cloud_seed_concentrated)                                    = Å¨ËõÔÆÖ®¾«»ª
stone                                             (tconstruct:molten_stone)                                                        = ÈÛÈÚ½¹ºÚÊ¯Í·
obsidian                                          (tconstruct:molten_obsidian)                                                     = ÈÛÈÚºÚê×Ê¯
clay                                              (tconstruct:molten_clay)                                                         = ÈÛÈÚÕ³ÍÁ
dirt                                              (tconstruct:molten_dirt)                                                         = ÒºÌ¬ÄàÍÁ
blood                                             (tconstruct:blood)                                                               = Ñª
blueslime                                         (tconstruct:blueslime)                                                           = ÒºÌ¬À¶É«Ê·À³Ä·
purpleslime                                       (tconstruct:purpleslime)                                                         = ÒºÌ¬×ÏÉ«Ê·À³Ä·
yellorium                                         (bigreactors:yellorium)                                                          = ÒºÌ¬»ÆÓË
cyanite                                           (bigreactors:cyanite)                                                            = ÒºÌ¬À¶¾§
fuelcolumn                                        ([no block])                                                                     = fluid.fuelcolumn
pure_metal                                        ([no block])                                                                     = ´¿½ğÊô
